,Domain,Course,Similarity
332,"Head of South East Asia Inside Sales, Google Cloud (English)",CSE 101,0.08773957057856023
333,"Inside Sales Manager Japan, Google Cloud",CSE 101,0.08773957057856023
334,"Inside Sales Manager North Asia, Google Cloud (English)",CSE 101,0.08773957057856023
335,"Regional Lead (APAC), Google Assistant Personality, Doodle Team",CSE 101,0.08773957057856023
336,"Chrome Customer Success Manager, Google Cloud",CSE 101,0.08768775041680783
337,"Internet of Things (IoT) Product Specialist, Google Cloud",CSE 101,0.08768775041680783
338,"Hardware Development Engineer, Home Team",CSE 101,0.08754028769617435
339,"Partner Specialist, SMB, Google Cloud",CSE 101,0.08754028769617435
340,"User Experience Design Intern, Summer 2018",CSE 101,0.08672599787823856
341,"Recruiter, Google Cloud",CSE 101,0.08666043812409044
342,"Associate Account Strategist (Czech/Slovak), Sales, Google Marketing Solutions",CSE 101,0.08656794594135135
343,"Associate Account Strategist (Romanian), Google Marketing Solutions Sales",CSE 101,0.08656794594135135
344,"Head of Creative, Retail Marketing",CSE 101,0.08656794594135135
345,Internal Communications Manager,CSE 101,0.08656794594135135
346,"Operations Specialist (Polish), Online Legal Support",CSE 101,0.08656794594135135
347,"Product Marketing Manager, Google Play, Japan (English, Japanese)",CSE 101,0.08656794594135135
348,"Program Manager, Operations, Google Cloud Web",CSE 101,0.08656794594135135
349,"Associate Legal Counsel, Development, Production and Licensing, YouTube Originals",CSE 101,0.08616085138637572
350,"Administrative Business Partner, Jigsaw",CSE 101,0.08611486335285008
351,Staffing Services Associate,CSE 101,0.08597545567899942
352,"Program Manager (Risk Management), Extended Workforce Solutions",CSE 101,0.08583022321108728
353,"Business Analyst Intern, Summer 2018",CSE 101,0.08545759648550302
354,"Enterprise Customer Development Representative, Google Cloud",CSE 101,0.08545759648550302
355,"Internal Audit, Infrastructure Technology Audit Manager",CSE 101,0.08484503522631712
356,"Strategic Cloud DevOps and Infrastructure Engineer, Google Cloud Professional Services",CSE 101,0.08484159428626299
357,"Business Development Consultant (Spanish), Google Marketing Solutions",CSE 101,0.08445052355527878
358,"Global Partnerships Solutions Lead, News and Publishing",CSE 101,0.08445052355527878
359,Platforms Account Manager,CSE 101,0.08445052355527878
360,"Associate Account Strategist (Russian), Global Customer Experience",CSE 101,0.08424092181958258
